26760,51.4161,0.123027,pol-1666,DA14 5HS
26761,51.4025,0.017469,pol-932,BR1 1TR
26762,51.411537,-0.027452,pol-500,BR3 1SD
26763,51.5438,-0.476597,pol-283,UB8 1UW
26764,51.5732,-0.415037,pol-1900,HA4 8NX
26765,51.612202,-0.427848,pol-1896,HA6 2XP
26766,51.6054,-0.339283,pol-1871,HA3 6HL
26767,51.513172,-0.322521,pol-1870,W13 0NL
26768,51.610645,-0.424608,pol-1869,HA6 2XW
26769,51.605442,-0.338983,pol-1855,HA3 6HL
26770,51.631302,-0.175571,pol-1852,N20 9HX
26771,51.51619,-0.071586,pol-1850,E1 7PE
26772,51.4156,-0.37364,pol-1833,TW12 2HQ
26773,51.595516,0.022789,pol-1776,E18 2NA
26774,51.595474,0.02284,pol-1648,E18 2NA
26775,51.461899,-0.012621,pol-1658,SE13 7HB
26776,51.4618,-0.012663,pol-1647,SE13 7HB
26777,51.567699,-0.352147,pol-1641,HA2 0EG
26778,51.429153,-0.263107,pol-1351,KT2 7LB
26779,51.5676,-0.351734,pol-1353,HA2 0EG
26780,51.557098,0.072063,pol-1634,IG1 1BA
26781,51.557098,0.072404,pol-1532,IG1 1BA
26782,51.411301,-0.026846,pol-1620,BR3 1SD
26783,51.6077,-0.210469,pol-1554,NW7 1GU
26784,51.6077,-0.210181,pol-1434,NW7 1GU
26785,51.447075,0.219451,pol-697,DA1 1DR
26786,51.61171,-0.180412,pol-1520,N12 8NR
26787,51.589939,-0.33298,pol-346,HA1 2XY
26788,51.403599,-0.303575,pol-1352,KT1 2EE
26789,51.375702,-0.275354,pol-1347,KT4 7QH
26790,51.436935,-0.251999,pol-1344,SW15 3DW
26791,51.4053,-0.298896,pol-1327,KT1 2QJ
26792,51.394501,-0.303854,pol-1258,KT6 4RF
26793,51.363663,-0.299143,pol-1225,KT9 2RT
26794,51.368099,-0.305964,pol-1224,KT9 1EJ
26795,51.5312,0.14809,pol-1918,RM9 6YS
26796,51.531399,0.148063,pol-1911,RM9 6YS
26797,51.380272,-0.182584,pol-675,SM5 1AA
26798,51.38036,-0.182926,pol-1361,SM5 1AA
