35792,TYPE_2,7.2,26761
35793,TYPE_2,7.2,26761
35794,TYPE_2,7.2,26762
35795,TYPE_2,7.2,26762
35796,THREE_PIN_SQUARE,3,26763
35797,THREE_PIN_SQUARE,3,26763
35798,TYPE_2,7.2,26764
35799,TYPE_2,7.2,26765
35800,TYPE_2,7.2,26765
35801,TYPE_2,7.2,26764
35802,TYPE_2,3.6,26768
35803,TYPE_2,7.2,26766
35804,TYPE_2,7.2,26766
35805,TYPE_2,3.6,26767
35806,TYPE_2,3.6,26768
35807,TYPE_2,3.6,26767
35808,TYPE_2,7.2,26769
35809,TYPE_2,7.2,26769
35810,TYPE_2,7.2,26770
35811,TYPE_2,7.2,26770
35812,TYPE_2,7.2,26771
35813,TYPE_2,7.2,26771
35814,TYPE_2,7.2,26773
35815,TYPE_2,7.2,26773
35816,TYPE_2,3.6,26772
35817,TYPE_2,3.6,26772
35818,TYPE_2,7.2,26775
35819,TYPE_2,7.2,26775
35820,TYPE_2,7.2,26774
35821,TYPE_2,7.2,26774
35822,TYPE_2,7.2,26777
35823,TYPE_2,3.6,26777
35824,TYPE_2,7.2,26776
35825,TYPE_2,7.2,26776
35826,THREE_PIN_SQUARE,3,26778
35827,TYPE_2,7.2,26778
35828,TYPE_2,7.2,26779
35829,TYPE_2,7.2,26779
35830,TYPE_2,7.2,26780
35831,TYPE_2,7.2,26780
35832,TYPE_2,3.6,26781
35833,TYPE_2,3.6,26781
35834,TYPE_2,7.2,26782
35835,TYPE_2,7.2,26782
35836,TYPE_2,7.2,26783
35837,TYPE_2,7.2,26783
35838,TYPE_2,7.2,26784
35839,TYPE_2,7.2,26784
35840,THREE_PIN_SQUARE,3,26785
35841,TYPE_2,3.6,26785
35842,TYPE_2,3.6,26786
35843,TYPE_2,3.6,26786
35844,THREE_PIN_SQUARE,3,26787
35845,THREE_PIN_SQUARE,3,26787
35846,TYPE_2,3.6,26796
35847,TYPE_2,3.6,26796
35848,TYPE_2,7.2,26789
35849,THREE_PIN_SQUARE,3,26793
35850,TYPE_2,7.2,26793
35851,THREE_PIN_SQUARE,3,26788
35852,TYPE_2,7.2,26788
35853,THREE_PIN_SQUARE,3,26790
35854,TYPE_2,7.2,26790
35855,THREE_PIN_SQUARE,3,26792
35856,TYPE_2,3.6,26792
35857,THREE_PIN_SQUARE,3,26794
35858,TYPE_2,7.2,26794
35859,THREE_PIN_SQUARE,3,26797
35860,TYPE_2,7.2,26797
35861,TYPE_2,3.6,26795
35862,TYPE_2,3.6,26795
35863,THREE_PIN_SQUARE,3,26791
35864,TYPE_2,7.2,26791
35865,THREE_PIN_SQUARE,3,26789
35866,THREE_PIN_SQUARE,3,26798
35867,TYPE_2,7.2,26798
35868,TYPE_2,7.2,26800
35869,THREE_PIN_SQUARE,3,26802
35870,TYPE_2,3.6,26799
35871,TYPE_2,3.6,26799
35872,THREE_PIN_SQUARE,3,26801
35873,TYPE_2,7.2,26801
35874,THREE_PIN_SQUARE,3,26800
35875,TYPE_2,7.2,26802
35876,TYPE_2,7.2,26804
35877,TYPE_2,7.2,26805
35878,TYPE_2,7.2,26805
35879,TYPE_2,7.2,26804
35880,TYPE_2,7.2,26803
35881,TYPE_2,7.2,26803
35882,TYPE_2,3.6,26807
35883,TYPE_2,3.6,26807
35884,TYPE_2,7.2,26806
35885,TYPE_2,7.2,26806
35886,TYPE_2,3.6,26808
35887,TYPE_2,3.6,26808
35888,TYPE_2,3.6,26809
35889,TYPE_2,3.6,26809
35890,THREE_PIN_SQUARE,3,26813
35891,TYPE_2,3.6,26813
35892,TYPE_2,3.6,26811
35893,TYPE_2,3.6,26811
35894,THREE_PIN_SQUARE,3,26812
35895,TYPE_2,3.6,26812
35896,TYPE_2,3.6,26810
35897,TYPE_2,3.6,26810
35898,THREE_PIN_SQUARE,3,26814
35899,THREE_PIN_SQUARE,3,26816
35900,TYPE_2,3.6,26816
35901,TYPE_2,3.6,26815
35902,TYPE_2,3.6,26814
35903,THREE_PIN_SQUARE,3,26815
35904,THREE_PIN_SQUARE,3,26817
35905,TYPE_2,3.6,26817
35906,TYPE_2,7.2,26818
35907,TYPE_2,7.2,26818
35908,TYPE_2,7.2,26819
35909,TYPE_2,7.2,26819
35910,TYPE_2,7.2,26820
35911,TYPE_2,7.2,26820
35912,TYPE_2,7.2,26821
35913,TYPE_2,7.2,26821
35914,TYPE_2,7.2,26822
35915,TYPE_2,7.2,26822
35916,TYPE_2,7.2,26823
35917,TYPE_2,7.2,26823
35918,TYPE_2,7.2,26824
35919,TYPE_2,7.2,26824
35920,TYPE_2,7.2,26825
35921,TYPE_2,7.2,26825
35922,TYPE_2,7.2,26826
35923,TYPE_2,7.2,26826
35924,TYPE_2,7.2,26827
35925,TYPE_2,7.2,26827
35926,TYPE_2,7.2,26828
35927,TYPE_2,7.2,26829
35928,TYPE_2,7.2,26828
35929,TYPE_2,7.2,26829
35930,TYPE_2,7.2,26830
35931,TYPE_2,7.2,26830
35932,TYPE_2,7.2,26831
35933,TYPE_2,7.2,26831
35934,TYPE_2,7.2,26832
35935,TYPE_2,7.2,26832
35936,TYPE_2,3.6,26833
35937,TYPE_2,3.6,26833
35938,TYPE_2,7.2,26834
35939,TYPE_2,7.2,26834
35940,TYPE_2,3.6,26835
35941,TYPE_2,3.6,26835
